line	trial	Zn	Cu	Fe	Cd
TRIUMPH64	HWWpanel_2013_Tipton	28.84475468	4.345570153	25.06901464	0.015288919
CHISHOLM	HWWpanel_2013_Tipton	27.043411	4.598709324	25.36867301	0.013236311
CENTURY	HWWpanel_2013_Tipton	25.67360596	3.496705768	22.34424265	0.0109124
CUSTER	HWWpanel_2013_Tipton	25.04026354	4.136137549	24.93582311	0.011970479
2174-05	HWWpanel_2013_Tipton	32.35215414	5.006640999	27.13888204	0.017919451
INTRADA	HWWpanel_2013_Tipton	25.22564625	4.039112961	27.45020764	0.010291745
OK101	HWWpanel_2013_Tipton	24.81026354	4.082637549	21.19082311	0.011120479
OK102	HWWpanel_2013_Tipton	21.42986625	3.625954506	21.5378382	0.010697031
ENDURANCE	HWWpanel_2013_Tipton	27.53215414	4.233140999	24.80388204	0.019369451
DELIVER	HWWpanel_2013_Tipton	17.53834583	3.033193988	18.94829143	0.010097322
OK_BULLET	HWWpanel_2013_Tipton	22.02329644	3.757436873	21.28466599	0.016110352
CENTERFIELD	HWWpanel_2013_Tipton	25.27036881	3.834509291	24.26178107	0.011043894
GUYMON	HWWpanel_2013_Tipton	25.57475468	3.868070153	26.14901464	0.010488919
DUSTER	HWWpanel_2013_Tipton	21.00818837	3.14514085	23.69839402	0.014111447
OK_RISING	HWWpanel_2013_Tipton	23.54465589	3.760990793	24.89634059	0.014688265
OK02405	HWWpanel_2013_Tipton	26.56329269	4.026981327	26.09916564	0.010661886
PETE	HWWpanel_2013_Tipton	27.17360596	4.142705768	25.57424265	0.0143124
BILLINGS	HWWpanel_2013_Tipton	28.94292128	4.529148842	27.27817357	0.008461035
OK04505	HWWpanel_2013_Tipton	26.803411	4.330709324	25.78867301	0.014186311
OK04525	HWWpanel_2013_Tipton	30.02025694	3.947108125	27.46873975	0.014147726
OK04507	HWWpanel_2013_Tipton	27.42625706	5.239858287	25.18383993	0.010788254
OK05830	HWWpanel_2013_Tipton	26.96491338	3.749497458	29.98849831	0.010785646
OK04111	HWWpanel_2013_Tipton	26.48984821	4.227482121	24.04811672	0.012246656
OK04415	HWWpanel_2013_Tipton	26.5818712	4.034797425	23.49660636	0.008793229
OK05711W	HWWpanel_2013_Tipton	25.34010835	4.166493902	25.26406794	0.012461735
OK05723W	HWWpanel_2013_Tipton	24.32125706	3.614358287	24.34383993	0.012938254
OK05108	HWWpanel_2013_Tipton	24.57615828	3.894278927	25.10616588	0.0186376
OK05122	HWWpanel_2013_Tipton	25.31615828	4.119278927	23.21616588	0.0102376
OK05526	HWWpanel_2013_Tipton	20.64714864	3.513901094	23.91503294	0.009791079
OK05134	HWWpanel_2013_Tipton	21.40984821	3.902982121	22.92811672	0.012396656
OK05303	HWWpanel_2013_Tipton	23.21636863	3.65024264	26.6476635	0.012796366
OK05312	HWWpanel_2013_Tipton	24.20175932	3.729396259	23.23356504	0.010947061
OK05511	HWWpanel_2013_Tipton	23.51979882	3.755725006	21.69949129	0.013409687
OK05204	HWWpanel_2013_Tipton	31.14676593	4.269425683	26.4056484	0.014919813
GARRISON	HWWpanel_2013_Tipton	28.34469076	3.923928983	27.15821932	0.014110782
OK06114	HWWpanel_2013_Tipton	26.58469076	3.988928983	29.15821932	0.016510782
OK06210	HWWpanel_2013_Tipton	25.20979507	3.573269461	24.65899094	0.01376122
OK06319	HWWpanel_2013_Tipton	28.92442366	4.168936976	26.54799887	0.01671037
OK06318	HWWpanel_2013_Tipton	30.96442366	4.193436976	31.70799887	0.01501037
OK06336	HWWpanel_2013_Tipton	27.90865653	4.108929133	26.25870734	0.018418786
AGATE	HWWpanel_2013_Tipton	29.18131338	4.611777165	28.14999572	0.011331367
ALLIANCE	HWWpanel_2013_Tipton	34.39126399	5.25952005	32.82137028	0.019144397
ANTELOPE	HWWpanel_2013_Tipton	27.84620063	3.541577684	27.42793013	0.016386424
ARAPAHOE	HWWpanel_2013_Tipton	27.0951217	3.541224176	25.79058633	0.016153496
BENNETT	HWWpanel_2013_Tipton	29.6501217	4.132724176	26.94058633	0.016753496
BUCKSKIN	HWWpanel_2013_Tipton	31.60588883	5.128732019	32.60987786	0.01374508
CENTURA	HWWpanel_2013_Tipton	26.85157352	4.038788945	24.69094694	0.016696445
CENTURK78	HWWpanel_2013_Tipton	23.84762345	3.39757397	21.49804488	0.01437231
CHEYENNE	HWWpanel_2013_Tipton	23.24615593	4.518224027	25.42509831	0.013895492
COLT	HWWpanel_2013_Tipton	21.60137855	3.580292501	22.9503773	0.013120356
COUGAR	HWWpanel_2013_Tipton	27.2182311	5.169720726	25.2075274	0.012154524
CULVER	HWWpanel_2013_Tipton	22.65861381	3.208196138	21.50191193	0.01347579
GAGE	HWWpanel_2013_Tipton	21.64833637	3.985092468	21.33848536	0.010977939
GOODSTREAK	HWWpanel_2013_Tipton	27.85272223	4.51115333	26.10071893	0.016872964
HALLAM	HWWpanel_2013_Tipton	32.5928338	3.775537683	24.41954249	0.018081076
HARRY	HWWpanel_2013_Tipton	26.91822449	3.584191302	21.83044404	0.012431771
HOMESTEAD	HWWpanel_2013_Tipton	25.43088883	3.666232019	19.90987786	0.01189508
INFINITY_CL	HWWpanel_2013_Tipton	26.13361381	3.523196138	21.79691193	0.01177579
KHARKOF	HWWpanel_2013_Tipton	29.40126024	4.124564504	29.31086993	0.013495931
MILLENNIUM	HWWpanel_2013_Tipton	29.27657352	4.106288945	22.41594694	0.012246445
CAMELOT	HWWpanel_2013_Tipton	28.55304616	5.116455007	24.67362871	0.013271057
OVERLAND	HWWpanel_2013_Tipton	27.09882616	4.714113461	29.59599816	0.01101577
NE99495	HWWpanel_2013_Tipton	28.12647635	4.590937373	26.2854565	0.018734377
NIOBRARA	HWWpanel_2013_Tipton	24.92647259	4.129981828	21.74495616	0.011735911
NUPLAINS	HWWpanel_2013_Tipton	19.89659091	3.736209825	21.00446353	0.011460337
PRONGHORN	HWWpanel_2013_Tipton	26.02293458	3.510570654	23.53480515	0.012512945
RAWHIDE	HWWpanel_2013_Tipton	24.63152573	4.092694488	27.63908194	0.011121347
REDLAND	HWWpanel_2013_Tipton	22.58882616	3.941113461	20.62099816	0.00811577
SCOUT66	HWWpanel_2013_Tipton	25.09843684	3.799108626	23.20453026	0.011771751
SIOUXLAND	HWWpanel_2013_Tipton	29.58533405	4.4766415	27.53967256	0.014143476
TURKEY_NEBSEL	HWWpanel_2013_Tipton	24.51344345	3.83663805	22.52661362	0.012394504
VISTA	HWWpanel_2013_Tipton	28.51178587	4.686206269	30.69003316	0.019536426
WAHOO	HWWpanel_2013_Tipton	23.91110118	3.665149343	23.75396409	0.014835061
WARRIOR	HWWpanel_2013_Tipton	20.61533405	3.5701415	22.27967256	0.011743476
WESLEY	HWWpanel_2013_Tipton	28.25136828	5.43564135	37.68418454	0.017685473
WINDSTAR	HWWpanel_2013_Tipton	22.18854872	4.066009792	26.72757158	0.01456792
JAGGER	HWWpanel_2013_Tipton	20.40793458	3.818570654	26.89480515	0.015412945
LANCER	HWWpanel_2013_Tipton	24.61343684	3.974608626	28.39953026	0.009271751
SETTLER_CL	HWWpanel_2013_Tipton	20.51147259	3.714481828	23.20495616	0.013685911
ANTON	HWWpanel_2013_Tipton	25.49006858	3.986714104	27.31762868	0.01071026
MACE	HWWpanel_2013_Tipton	24.18517289	4.226554582	24.1234003	0.012360699
JERRY	HWWpanel_2013_Tipton	25.68903435	3.956714254	25.3581167	0.010968264
TAM107-R7	HWWpanel_2013_Tipton	25.11480149	4.280222097	25.19740823	0.011909848
ARLIN	HWWpanel_2013_Tipton	27.11214375	4.637210803	28.85505777	0.011169292
ALICE	HWWpanel_2013_Tipton	23.90529121	4.380282578	27.59290767	0.010885124
DARRELL	HWWpanel_2013_Tipton	28.94674646	4.04802776	30.83207286	0.013645844
EXPEDITION	HWWpanel_2013_Tipton	24.56174646	4.26752776	25.23207286	0.014995844
WENDY	HWWpanel_2013_Tipton	27.26224902	4.130582545	25.90601573	0.016492707
LYMAN	HWWpanel_2013_Tipton	24.91903435	4.187214254	25.5181167	0.010018264
SD01237	HWWpanel_2013_Tipton	26.36752646	4.165186215	23.3344423	0.010540558
SD01058	HWWpanel_2013_Tipton	24.87163489	3.545143408	27.1682493	0.012637732
SD05118	HWWpanel_2013_Tipton	31.29724902	4.647582545	30.17601573	0.018542707
SD05210	HWWpanel_2013_Tipton	27.64713715	4.96918138	27.02797441	0.009896539
SD05W018	HWWpanel_2013_Tipton	25.05517665	4.224510127	26.31890065	0.012359165
NEKOTA	HWWpanel_2013_Tipton	27.06480149	3.786722097	20.07740823	0.015809848
TANDEM	HWWpanel_2013_Tipton	23.35548617	4.046279022	21.19847731	0.012511213
CRIMSON	HWWpanel_2013_Tipton	25.14017665	3.848010127	22.42890065	0.012359165
ROSE	HWWpanel_2013_Tipton	25.7665361	4.379564047	23.77057525	0.011987078
DAWN	HWWpanel_2013_Tipton	23.02522604	3.616267242	22.09752609	0.015096135
WINOKA	HWWpanel_2013_Tipton	32.61366169	4.179319216	26.94452099	0.018152731
NELL	HWWpanel_2013_Tipton	27.51315283	4.18975182	25.88271252	0.015671172
RITA	HWWpanel_2013_Tipton	29.06131943	4.881830509	30.87187145	0.012043288
BRONZE	HWWpanel_2013_Tipton	25.80158652	4.342322516	23.5220919	0.0177937
HUME	HWWpanel_2013_Tipton	21.92680915	4.182890991	26.79237089	0.011718564
