,RAC875_c3397_274,RAC875_c17455_152,Excalibur_c7449_587,IACX6309,IWA4096,IWA4097,IWA4095,Excalibur_c36280_764,IWA2379,IWA2702,IAAV6424,IAAV3067,Kukri_c834_259,IAAV2917,BS00046165_51,BobWhite_c2521_117,Ex_c16948_754,IWA4909,RAC875_c4465_549,IACX8096,RAC875_c103094_120,Kukri_c29560_455,IWA7579,IWA6681,IWA1752
RAC875_c3397_274,NA,0.302938378,0.190740816,0.432600616,0.092480411,0.094082731,0.094353222,0.318731577,0.247676259,0.232011364,0.779762556,0.009343185,0.01069239,0.364505791,0.364621632,0.012432507,0.005461309,0.005461309,0.014264872,0.491211288,0.025930772,0.002173005,0.002220299,0.0022286,0.0022286
RAC875_c17455_152,0.302938378,NA,0.386643698,0.399757455,0.656955217,0.665194921,0.341178576,0.637602742,0.374429062,0.382672941,0.806975571,0.007164616,0.007113964,0.630783951,0.665775272,0.009441123,0.003045544,0.003045544,0.009795521,0.47012798,0.019866521,0.000536276,0.000550458,0.000553367,0.000553367
Excalibur_c7449_587,0.190740816,0.386643698,NA,0.282589514,0.156657357,0.401041146,0.413388241,0.563803725,0.381876461,0.386316301,0.616337794,0.011344336,0.014276495,0.942078478,0.899499025,0.016683917,0.007136495,0.007136495,0.020297139,0.975900521,0.038739328,0.000119427,0.000122839,0.00012342,0.00012342
IACX6309,0.432600616,0.399757455,0.282589514,NA,0.401890431,0.403196121,0.403299886,0.476693336,0.32178297,0.320305868,0.610955242,0.006499259,0.008643985,0.531105015,0.531102948,0.010794361,0.004212422,0.004212422,0.013103693,0.347937028,0.026559028,0.000443877,0.000456939,0.000461992,0.000461992
IWA4096,0.092480411,0.656955217,0.156657357,0.401890431,NA,0.041602298,0.541614842,0.161704958,0.05347031,0.058893931,0.356505364,0.053221418,0.059754769,0.158047851,0.165250858,0.085640885,0.016730883,0.016730883,0.062817344,0.247028625,0.114252918,0.000131436,0.000134953,0.000135101,0.000135101
IWA4097,0.094082731,0.665194921,0.401041146,0.403196121,0.041602298,NA,0.542850001,0.474486558,0.21261454,0.229974091,0.619615633,0.223242837,0.246193235,0.184132801,0.166286638,0.319875075,0.090601699,0.090601699,0.266467448,0.245126688,0.393236476,0.000486547,0.000499685,0.000502598,0.000502598
IWA4095,0.094353222,0.341178576,0.413388241,0.403299886,0.541614842,0.542850001,NA,0.490426019,0.213738436,0.231180177,0.61942335,0.224157865,0.246037539,0.193358457,0.166845287,0.319768543,0.090579942,0.090579942,0.267903288,0.24504612,0.393113241,0.000487981,0.000501147,0.000504045,0.000504045
Excalibur_c36280_764,0.318731577,0.637602742,0.563803725,0.476693336,0.161704958,0.474486558,0.490426019,NA,0.712640219,0.778748263,0.508114433,0.603502321,0.601509959,0.418236011,0.046352332,0.528368783,0.498982846,0.498982846,0.673284235,0.350915731,0.414217644,0.000128817,0.000132357,0.000132696,0.000132696
IWA2379,0.247676259,0.374429062,0.381876461,0.32178297,0.05347031,0.21261454,0.213738436,0.712640219,NA,0.651982784,0.514655367,0.252369736,0.258110063,0.93562924,0.971607347,0.756425482,0.436622556,0.436622556,0.367536883,0.587816637,0.407974567,0.000151266,0.000155277,0.000155439,0.000155439
IWA2702,0.232011364,0.382672941,0.386316301,0.320305868,0.058893931,0.229974091,0.231180177,0.778748263,0.651982784,NA,0.523237163,0.249042132,0.258319367,0.933964416,0.970016437,0.776687944,0.461046731,0.461046731,0.356813699,0.563944306,0.408349263,0.000132418,0.00013602,0.000136266,0.000136266
IAAV6424,0.779762556,0.806975571,0.616337794,0.610955242,0.356505364,0.619615633,0.61942335,0.508114433,0.514655367,0.523237163,NA,0.458282791,0.482169179,0.274376434,0.291860503,0.374388397,0.129661627,0.129661627,0.386784763,0.60042075,0.559705238,0.000653014,0.00066592,0.000667937,0.000667937
IAAV3067,0.009343185,0.007164616,0.011344336,0.006499259,0.053221418,0.223242837,0.224157865,0.603502321,0.252369736,0.249042132,0.458282791,NA,0.14033347,0.044036283,0.046178967,0.155860066,0.114214071,0.114214071,0.121766519,0.02119117,0.2058898,4.15E-05,4.31E-05,4.33E-05,4.33E-05
Kukri_c834_259,0.01069239,0.007113964,0.014276495,0.008643985,0.059754769,0.246193235,0.246037539,0.601509959,0.258110063,0.258319367,0.482169179,0.14033347,NA,0.048505411,0.051018329,0.225554674,0.042813479,0.042813479,0.156559251,0.030401682,0.276778687,0.00011272,0.000115857,0.000116206,0.000116206
IAAV2917,0.364505791,0.630783951,0.942078478,0.531105015,0.158047851,0.184132801,0.193358457,0.418236011,0.93562924,0.933964416,0.274376434,0.044036283,0.048505411,NA,0.349949445,0.244845939,0.98662518,0.98662518,0.315294445,0.383758743,0.187199845,0.000402794,0.000413938,0.000416594,0.000416594
BS00046165_51,0.364621632,0.665775272,0.899499025,0.531102948,0.165250858,0.166286638,0.166845287,0.046352332,0.971607347,0.970016437,0.291860503,0.046178967,0.051018329,0.349949445,NA,0.238522987,0.965680569,0.965680569,0.306220908,0.383703333,0.183914651,0.000480256,0.000493492,0.000496945,0.000496945
BobWhite_c2521_117,0.012432507,0.009441123,0.016683917,0.010794361,0.085640885,0.319875075,0.319768543,0.528368783,0.756425482,0.776687944,0.374388397,0.155860066,0.225554674,0.244845939,0.238522987,NA,0.136469016,0.136469016,0.306476278,0.066900601,0.421337513,0.000142491,0.000146317,0.000146597,0.000146597
Ex_c16948_754,0.005461309,0.003045544,0.007136495,0.004212422,0.016730883,0.090601699,0.090579942,0.498982846,0.436622556,0.461046731,0.129661627,0.114214071,0.042813479,0.98662518,0.965680569,0.136469016,NA,NA,0.134635878,0.029919174,0.119555893,0.00011516,0.000118347,0.00011878,0.00011878
IWA4909,0.005461309,0.003045544,0.007136495,0.004212422,0.016730883,0.090601699,0.090579942,0.498982846,0.436622556,0.461046731,0.129661627,0.114214071,0.042813479,0.98662518,0.965680569,0.136469016,NA,NA,0.134635878,0.029919174,0.119555893,0.00011516,0.000118347,0.00011878,0.00011878
RAC875_c4465_549,0.014264872,0.009795521,0.020297139,0.013103693,0.062817344,0.266467448,0.267903288,0.673284235,0.367536883,0.356813699,0.386784763,0.121766519,0.156559251,0.315294445,0.306220908,0.306476278,0.134635878,0.134635878,NA,0.072183848,0.417572658,0.000117385,0.000120619,0.000121001,0.000121001
IACX8096,0.491211288,0.47012798,0.975900521,0.347937028,0.247028625,0.245126688,0.24504612,0.350915731,0.587816637,0.563944306,0.60042075,0.02119117,0.030401682,0.383758743,0.383703333,0.066900601,0.029919174,0.029919174,0.072183848,NA,0.655388587,0.002296187,0.002340295,0.002352168,0.002352168
RAC875_c103094_120,0.025930772,0.019866521,0.038739328,0.026559028,0.114252918,0.393236476,0.393113241,0.414217644,0.407974567,0.408349263,0.559705238,0.2058898,0.276778687,0.187199845,0.183914651,0.421337513,0.119555893,0.119555893,0.417572658,0.655388587,NA,9.38E-05,9.64E-05,9.65E-05,9.65E-05
Kukri_c29560_455,0.002173005,0.000536276,0.000119427,0.000443877,0.000131436,0.000486547,0.000487981,0.000128817,0.000151266,0.000132418,0.000653014,4.15E-05,0.00011272,0.000402794,0.000480256,0.000142491,0.00011516,0.00011516,0.000117385,0.002296187,9.38E-05,NA,0.573100294,0.552380667,0.552380667
IWA7579,0.002220299,0.000550458,0.000122839,0.000456939,0.000134953,0.000499685,0.000501147,0.000132357,0.000155277,0.00013602,0.00066592,4.31E-05,0.000115857,0.000413938,0.000493492,0.000146317,0.000118347,0.000118347,0.000120619,0.002340295,9.64E-05,0.573100294,NA,0.344679022,0.344679022
IWA6681,0.0022286,0.000553367,0.00012342,0.000461992,0.000135101,0.000502598,0.000504045,0.000132696,0.000155439,0.000136266,0.000667937,4.33E-05,0.000116206,0.000416594,0.000496945,0.000146597,0.00011878,0.00011878,0.000121001,0.002352168,9.65E-05,0.552380667,0.344679022,NA,NA
